Time,Money,Total Income, Factory Income, Click Income,Quartz Click Power,Quartz Factories,Quartz Factory Cost,Topaz Click Power,Topaz Factories,Topaz Factory Cost,Amethyst Click Power,Amethyst Factories,Amethyst Factory Cost,Sapphire Click Power,Sapphire Factories,Sapphire Factory Cost,Emerald Click Power,Emerald Factories,Emerald Factory Cost,Ruby Click Power,Ruby Factories,Ruby Factory Cost,Diamond Click Power,Diamond Factories,Diamond Factory Cost,Rainbow Click Power,Rainbow Factories,Rainbow Factory Cost,
97,3594731.0367682413,2534,2534,0,1,51,14954.472693858545,1,32,13134.760261927368,1,14,14151.411528977951,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
98,3733696.276506314,2535,2535,0,1,51,14954.472693858545,1,33,15104.97430121647,1,14,14151.411528977951,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
99,3872364.864977336,2547,2547,0,1,51,14954.472693858545,1,33,15104.97430121647,1,15,16274.12325832464,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
100,4019230.3922834774,2697,2697,0,1,52,17197.643597937324,1,33,15104.97430121647,1,15,16274.12325832464,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
101,4166005.4179822607,2698,2698,0,1,52,17197.643597937324,1,34,17370.72044639894,1,15,16274.12325832464,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
102,4312331.294723936,2710,2710,0,1,52,17197.643597937324,1,34,17370.72044639894,1,16,18715.24174707333,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
103,4466733.651125999,2860,2860,0,1,53,19777.29013762792,1,34,17370.72044639894,1,16,18715.24174707333,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
104,4621022.930679601,2861,2861,0,1,53,19777.29013762792,1,35,19976.328513358778,1,16,18715.24174707333,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
105,4774687.688932528,2873,2873,0,1,53,19777.29013762792,1,35,19976.328513358778,1,17,21522.52800913433,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
106,4936290.3987949,3023,3023,0,1,54,22743.88365827211,1,35,19976.328513358778,1,17,21522.52800913433,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
107,5097754.070281541,3024,3024,0,1,54,22743.88365827211,1,36,22972.777790362597,1,17,21522.52800913433,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
108,5258391.542272407,3036,3036,0,1,54,22743.88365827211,1,36,22972.777790362597,1,18,24750.907210504476,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
109,5427551.542272407,3186,3186,0,1,54,22743.88365827211,1,36,22972.777790362597,1,18,24750.907210504476,1,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
110,5595967.658614134,3186,3186,0,1,55,26155.46620701292,1,36,22972.777790362597,1,18,24750.907210504476,1,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
111,5764214.8808237715,3187,3187,0,1,55,26155.46620701292,1,37,26418.694458916983,1,18,24750.907210504476,1,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
